Units (in Crores),Company Name,Sector,Type,Quantity,Weight (%),Market Price,Notes
Crores,7.54% Government of India,,Government Securities,60676400.0,81.66,653.4836,SOVEREIGN
Crores,6.67% Government of India,,Government Securities,13328600.0,16.92,135.3854,SOVEREIGN
Crores,Net Current Assets,,Current Assets,0.0,0.6,4.8298,
Crores,TREPS,,Treps/Reverse Repo,0.0,0.56,4.4626,
Crores,7.4% Government of India,Others - Not Mentioned,Government Securities,188000.0,0.25,2.0111,SOVEREIGN
Crores,Cash Margin - CCIL,,Cash,0.0,0.01,0.0623,
