Units (in Crores),Company Name,Sector,Type,Quantity,Weight (%),Market Price,Notes
Crores,HDFC Bank Limited,Finance - Banks - Private Sector,Equity,709512.0,15.39,141.9521,
Crores,ICICI Bank Limited,Financials,Equity,667366.0,10.46,96.4878,
Crores,Reliance Industries Limited,Energy,Equity,633218.0,10.3,95.0239,
Crores,Infosys Limited,Information Technology,Equity,334318.0,5.8,53.5343,
Crores,Bharti Airtel Limited,Communication Services,Equity,245470.0,5.35,49.3247,
Crores,Larsen & Toubro Limited,Industrials,Equity,109400.0,4.35,40.1339,
Crores,ITC Limited,Consumer Staples,Equity,866639.0,3.91,36.0955,
Crores,Tata Consultancy Services Limited,Information Technology,Equity,94808.0,3.56,32.8135,
Crores,Axis Bank Limited,Financials,Equity,266891.0,3.47,32.0002,
Crores,Kotak Mahindra Bank Limited,Financials,Equity,137694.0,3.23,29.7922,
Crores,State Bank of India,Financials,Equity,359140.0,3.19,29.462,
Crores,Mahindra & Mahindra Limited,Consumer Discretionary,Equity,82627.0,2.85,26.3097,
Crores,Bajaj Finance Limited,Non-Banking Financial Company (NBFC),Equity,244257.0,2.48,22.8673,
Crores,Hindustan Unilever Limited,Consumer Staples,Equity,83557.0,2.08,19.1742,
Crores,Eternal Limited,E-Commerce/E-Retail,Equity,650252.0,1.86,17.1699,
Crores,HCL Technologies Limited,Information Technology,Equity,99044.0,1.85,17.1118,
Crores,Sun Pharmaceutical Industries Limited,Health Care,Equity,98796.0,1.8,16.5661,
Crores,Maruti Suzuki India Limited,Consumer Discretionary,Equity,12358.0,1.66,15.3226,
Crores,NTPC Limited,Utilities,Equity,444656.0,1.61,14.8938,
Crores,Titan Company Limited,Consumer Discretionary,Equity,38218.0,1.53,14.0994,
Crores,Bharat Electronics Limited,Information Technology,Equity,335202.0,1.53,14.1355,
Crores,Tata Motors Limited,Consumer Discretionary,Equity,196376.0,1.46,13.5117,
Crores,UltraTech Cement Limited,Materials,Equity,11031.0,1.44,13.317,
Crores,Power Grid Corporation of India Limited,Utilities,Equity,426494.0,1.39,12.7863,
Crores,Trent Limited,Consumer Discretionary,Equity,20626.0,1.39,12.8276,
Crores,Tata Steel Limited,Iron & Steel,Equity,771053.0,1.34,12.3176,
Crores,Bajaj Finserv Limited,Holding Company,Equity,50841.0,1.13,10.4445,
Crores,Tech Mahindra Limited,Information Technology,Equity,59557.0,1.09,10.0491,
Crores,Adani Ports and Special Economic Zone Limited,Industrials,Equity,68733.0,1.08,9.9677,
Crores,Asian Paints Limited,Materials,Equity,42190.0,1.07,9.8782,
Crores,TREPS,,Treps/Reverse Repo,0.0,0.26,2.4186,
Crores,Net Current Assets,,Current Assets,0.0,0.09,0.8545,
Crores,Cash Margin - CCIL,,Cash,0.0,0.0,0.015,
