Price,Open,High,Low,Close,Volume,Ticker
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,
Date,,,,,,
2024-05-28,190.61853495727325,192.10160462638697,188.21976480489596,189.10562133789062,52280100,AAPL
2024-05-29,188.7273779696699,191.35508832801628,188.62783738828333,189.40420532226562,53068000,AAPL
2024-05-30,189.8720349370489,191.2854232244703,189.7426503955058,190.39956665039062,49947900,AAPL
2024-05-31,190.5488754083416,191.67362027294615,189.02599856414395,191.3551025390625,75158300,AAPL
2024-06-03,192.0020557606219,194.0823384761381,191.62383496596826,193.12680053710938,50080500,AAPL
2024-06-04,193.7339558758535,194.41079839334418,192.13144977133211,193.4453125,47471400,AAPL
2024-06-05,194.49042328995185,195.9834409155792,193.96289161058436,194.95823669433594,54156800,AAPL
2024-06-06,194.77908126144504,195.58530834672572,193.2661524862918,193.57470703125,41181800,AAPL
2024-06-07,193.7439169991778,196.02326577578603,193.23629646745044,195.97349548339844,53103900,AAPL
2024-06-10,195.98342648408087,196.3815736009198,191.25553768440525,192.2210235595703,97262100,AAPL
2024-06-11,192.74857122232135,206.19569315156764,192.72867525564521,206.18572998046875,172373300,AAPL
2024-06-12,206.40472171133436,219.1750019825869,205.9369082694312,212.0782012939453,198134300,AAPL
2024-06-13,213.74040935969603,215.74104751612717,210.61502639534655,213.24273681640625,97862700,AAPL
2024-06-14,212.8545395919822,214.16838712685717,210.31640674162668,211.50086975097656,70122700,AAPL
2024-06-17,212.37678083551464,217.9308083607288,211.72981259041407,215.6614227294922,93728300,AAPL
2024-06-18,216.5771221156608,217.61228945527094,212.008492058615,213.29248046875,79943300,AAPL
2024-06-20,212.93418113045576,213.24275088537271,207.87784112226225,208.70396423339844,86172500,AAPL
2024-06-21,209.41064929966387,210.90366690915465,206.14591867526494,206.52415466308594,246421400,AAPL
2024-06-24,206.75308420226276,211.70989851928564,205.6283393856244,207.17112731933594,80727000,AAPL
2024-06-25,208.1764159984445,210.3960464470149,207.6389363414956,208.0968017578125,56713900,AAPL
2024-06-26,210.51548557795786,213.8598456726642,209.65948819693895,212.25733947753906,66213200,AAPL
2024-06-27,213.69065882378794,214.73577429887092,211.36155475092565,213.10340881347656,49772700,AAPL
2024-06-28,214.76559269472423,215.06419922920637,209.3210543856748,209.63955688476562,82542700,AAPL
2024-07-01,211.10273143743845,216.4974998735104,210.933524598722,215.7410430908203,60402900,AAPL
2024-07-02,215.1438274713018,219.35414798734178,214.09872731420612,219.24465942382812,58046200,AAPL
2024-07-03,218.97591935149836,220.51870727539062,218.01043340115498,220.51870727539062,37369800,AAPL
2024-07-05,220.61823649717394,225.39589603978789,220.61823649717394,225.28640747070312,60412400,AAPL
2024-07-08,226.03290864697604,226.78938062149984,222.21078721739227,226.759521484375,59085900,AAPL
2024-07-09,226.8690002119573,228.33215871662,225.3162642938077,227.61550903320312,48076100,AAPL
2024-07-10,228.23262994836378,231.9950331368443,228.1828596567971,231.89549255371094,62627700,AAPL
2024-07-11,230.31290687462652,231.30825199534104,224.7190721562944,226.5106964111328,64710600,AAPL
2024-07-12,227.85438851986095,231.55707334519846,227.61550023869842,229.4668426513672,53046500,AAPL
2024-07-15,235.37920328245679,236.12571210202407,232.00498402552307,233.3088836669922,62631300,AAPL
2024-07-16,233.90609879782943,235.17019132901206,231.2485291999769,233.72694396972656,43234300,AAPL
2024-07-17,228.38191396445072,230.38256719376508,225.5849968618027,227.8145751953125,57345900,AAPL
2024-07-18,229.20807059344992,229.3673294560276,221.23536173419896,223.13645935058594,66034600,AAPL
2024-07-19,223.773474302542,225.74425318618754,222.24063446922685,223.26583862304688,49151500,AAPL
2024-07-22,225.9532706718539,226.71969060050867,222.051519961604,222.91748046875,48201800,AAPL
2024-07-23,223.32558043665784,225.88362469345716,221.6434447483752,223.9626007080078,39960300,AAPL
2024-07-24,222.9572958470105,223.75357494115906,216.1192800710717,217.522705078125,61777600,AAPL
2024-07-25,217.91089956980477,219.8219755631398,213.62096453779796,216.4776153564453,51391200,AAPL
2024-07-26,217.6819649471348,218.46829606182757,215.0044842643322,216.94541931152344,41601300,AAPL
2024-07-29,215.95008057489312,218.27918447457574,214.74570631572197,217.22412109375,36311800,AAPL
2024-07-30,218.16969337819762,219.30438617677734,215.11397665237357,217.78150939941406,41643800,AAPL
2024-07-31,220.40921389598267,222.77814001369308,219.60298682237814,221.04623413085938,50036300,AAPL
2024-08-01,223.3255700813178,223.43505864730554,216.0097928775357,217.3435516357422,62501000,AAPL
2024-08-02,218.1298614428512,224.54984915998065,216.69657732981517,218.83656311035156,105568600,AAPL
2024-08-05,198.16324716744046,212.506173331003,195.0876345333798,208.29586791992188,119548600,AAPL
2024-08-06,204.34434168651262,209.01251239840335,200.13403637997632,206.26535034179688,69660500,AAPL
2024-08-07,205.9369016050796,212.64553325809877,205.4292810556757,208.84332275390625,63516400,AAPL
2024-08-08,212.1179811495676,213.20290359333654,207.85790561211314,212.31704711914062,47161100,AAPL
2024-08-09,211.1127158331721,215.77092392101787,210.98331610147795,215.2334442138672,42201600,AAPL
2024-08-12,215.31315848368175,218.7410960979999,214.8448035806853,216.76803588867188,38028100,AAPL
2024-08-13,218.2428407360094,221.11275746457662,218.2428407360094,220.49493408203125,44155300,AAPL
2024-08-14,219.7973936824548,222.24876826808693,218.93043078284688,220.943359375,41960600,AAPL
2024-08-15,223.81327127421198,224.56064415441705,221.97970491871703,223.93284606933594,46414000,AAPL
2024-08-16,223.1356500786779,226.03546056539557,222.86659157853387,225.25819396972656,44340200,AAPL
2024-08-19,224.92935218120843,225.19841068626937,222.25873174304007,225.0987548828125,40687800,AAPL
2024-08-20,224.9791850293864,226.3742750764108,224.6602986155859,225.71658325195312,30299000,AAPL
2024-08-21,225.72653885026273,227.18141617539888,224.2616868222014,225.60694885253906,34765500,AAPL
2024-08-22,226.9920904114928,227.5401669123529,223.11571691317775,223.74351501464844,43695300,AAPL
2024-08-23,224.86956599566977,227.42059644239848,223.5442228703079,226.04542541503906,38677300,AAPL
2024-08-26,225.96568932825608,226.48387210620078,223.10574735994538,226.38421630859375,30602200,AAPL
2024-08-27,225.20835892301574,228.04838192077386,224.1022464634546,227.2312469482422,35934600,AAPL
2024-08-28,227.1216236092518,229.05483047059747,224.8894645684117,225.69664001464844,38052200,AAPL
2024-08-29,229.29401907737392,232.10413336375854,228.07829123837303,228.98509216308594,51906300,AAPL
2024-08-30,229.38369482859366,229.59295072736154,226.68318070354871,228.19786071777344,52990800,AAPL
2024-09-03,227.7494219919808,228.19784265919515,220.39526831044307,221.9896697998047,50190600,AAPL
2024-09-04,220.88356101217042,221.00313580397116,216.71819503548093,220.07640075683594,43840200,AAPL
2024-09-05,220.85365562251366,224.690160307972,220.7440403340526,221.6010284423828,36615400,AAPL
2024-09-06,223.16555001573386,224.45103994819866,219.000198922793,220.04652404785156,48423000,AAPL
2024-09-09,220.04650359994196,220.4949242674857,215.95089978640883,220.1361846923828,67180000,AAPL
2024-09-10,218.1531703875452,220.7042008473601,215.97083903478983,219.33900451660156,51591000,AAPL
2024-09-11,220.6842571655674,222.3085371188772,217.12675517633116,221.8800506591797,44587100,AAPL
2024-09-12,221.72061131734026,222.7669363444001,219.05000630879996,221.9896697998047,37498200,AAPL
2024-09-13,222.7968456308755,223.25522582753553,221.13269713278441,221.7206268310547,36766600,AAPL
2024-09-16,215.78148650258865,216.45911247240775,213.17066883128115,215.56227111816406,59357400,AAPL
2024-09-17,214.99425879157621,216.1402244248995,213.74863736172932,216.03060913085938,45519300,AAPL
2024-09-18,216.7879611815548,221.9298901997397,216.777986478492,219.91696166992188,59894900,AAPL
2024-09-19,224.20191472936153,229.01499812075548,223.84317512238368,228.0683135986328,66781300,AAPL
2024-09-20,229.1644542640561,232.27352055331795,226.82267984404155,227.40065002441406,318679900,AAPL
2024-09-23,226.54365969576136,228.64626930220686,225.01902026418153,225.6767120361328,54146000,AAPL
2024-09-24,227.8490778167103,228.5466380182851,224.93930782860403,226.5735626220703,43556100,AAPL
2024-09-25,224.14211370551686,226.49384776666977,223.23531278607823,225.5770721435547,42308700,AAPL
2024-09-26,226.50380712846774,227.69960067739044,224.62042810744603,226.72303771972656,36636700,AAPL
2024-09-27,227.6597471643239,228.71603171782343,226.50380681299467,226.99208068847656,34026000,AAPL
2024-09-30,229.23421467656505,232.18385314941406,228.84558136748996,232.18385314941406,54541900,AAPL
2024-10-01,228.71603627902877,228.84557057238277,222.9562838134916,225.41763305664062,63285000,AAPL
2024-10-02,225.09875954956593,226.5735711981907,222.23881735408233,225.9856414794922,32880600,AAPL
2024-10-03,224.35137431302277,226.01552277761738,222.53775735368686,224.8795166015625,34044200,AAPL
2024-10-04,227.1017072618697,227.20136306464835,223.3449237414969,226.0055694580078,37245100,AAPL
2024-10-07,223.7136221153256,224.8994562199718,220.55472780586587,220.91346740722656,39505400,AAPL
2024-10-08,223.51431968732726,225.1884276449642,222.46799461113406,224.9791717529297,31855700,AAPL
2024-10-09,224.44106139019914,228.94523301761674,224.0424685900414,228.7359619140625,33591100,AAPL
2024-10-10,226.98213565099735,228.6961120865482,226.37427173832708,228.2377166748047,28183500,AAPL
2024-10-11,228.4968150773993,228.60643037956845,226.54367384020586,226.75294494628906,31759200,AAPL
2024-10-14,227.89890830734765,230.91829362955485,227.79926770980506,230.48980712890625,39882100,AAPL
2024-10-15,232.79170373632726,236.65811760908664,231.5560417756155,233.03086853027344,64751400,AAPL
2024-10-16,230.78874694170784,231.3069145139278,229.0349022193022,230.96810913085938,34082200,AAPL
