Units (in Crores),Company Name,Sector,Type,Quantity,Weight (%),Market Price,Notes
Crores,7.38% Government of India,,Government Securities,33072700.0,85.55,340.5165,SOVEREIGN
Crores,8.28% Government of India,Others - Not Mentioned,Government Securities,3500000.0,9.23,36.7342,SOVEREIGN
Crores,6.79% Government of India,,Government Securities,1650000.0,4.22,16.7792,SOVEREIGN
Crores,TREPS,,Treps/Reverse Repo,0.0,0.6,2.3995,
Crores,Net Current Assets,,Current Assets,0.0,0.4,1.5951,
Crores,Cash Margin - CCIL,,Cash,0.0,0.0,0.0151,
